Candidate Model,MLflow Run ID,MLflow Artifact Path,Persistent Export Path,File Size Bytes,SHA-256,Committed to GitHub
AdaBoost,4a36dae7c42d4875b46e517e7ff98430,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/AdaBoost/randomized_search_results.csv,13080,15b515d587e9d9b927f7ad8b21e9531511ea74d2fd294e6ee346766c3a9d4302,True
AdaBoost,4a36dae7c42d4875b46e517e7ff98430,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/AdaBoost/best_parameters.json,989,edceda8471a7c6e8f41038658fd555a46ac6fe0d5bf4a3aad2c54ea2c7d75a71,True
AdaBoost,4a36dae7c42d4875b46e517e7ff98430,tuned_model/AdaBoost_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/AdaBoost/AdaBoost_best_estimator.joblib,33812,316496fbd01eaa955f0e2521ae73e1c7ec0d4b36d94dd190d4b02dadcf0810e5,False
Bagging,bd71556d3db844dcae4eb0a5084a8b52,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/Bagging/randomized_search_results.csv,13589,a4446ef188221a5619e22e1b780f76e5894e2a50cf567508a1040d7eb95336cd,True
Bagging,bd71556d3db844dcae4eb0a5084a8b52,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/Bagging/best_parameters.json,1039,834b64755ab4782ff561f613be43f901f48cc06c30d432d736f6d598f8274c82,True
Bagging,bd71556d3db844dcae4eb0a5084a8b52,tuned_model/Bagging_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/Bagging/Bagging_best_estimator.joblib,1082672,a49f6f189a538ae7da7e4a4bcd66f0f6f789d119694b12b7a9e3b71c0811f800,False
Decision Tree,0f29cc8de9a6402baccd6beefefa9a5e,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/Decision_Tree/randomized_search_results.csv,13547,c2efd39759d043df80305843eb95d415c3826b2ff806a83d7a7023337686feb6,True
Decision Tree,0f29cc8de9a6402baccd6beefefa9a5e,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/Decision_Tree/best_parameters.json,1045,864deacc125b5855ae8c030f49b191009e67cdd216b0fe4ef17a71bd7044672c,True
Decision Tree,0f29cc8de9a6402baccd6beefefa9a5e,tuned_model/Decision_Tree_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/Decision_Tree/Decision_Tree_best_estimator.joblib,6713,4ac9eea22f6cc15a2a3a1a8905a3ccf961d7536809ded455f57772fa32b7927a,False
Gradient Boosting,8f79d1f0acbe4afc96d0744698a2c228,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/Gradient_Boosting/randomized_search_results.csv,13788,d46071996fd9ded3d398cf4c436653cfa35b5abf79ba6fcb3c928cab99101d4f,True
Gradient Boosting,8f79d1f0acbe4afc96d0744698a2c228,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/Gradient_Boosting/best_parameters.json,1071,2b11d6ef5164d7dfa4a3844da3fa5f439919a943b0a336e6ec0218738b9ec06a,True
Gradient Boosting,8f79d1f0acbe4afc96d0744698a2c228,tuned_model/Gradient_Boosting_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/Gradient_Boosting/Gradient_Boosting_best_estimator.joblib,87768,71f781f74fac07d9a513957e496f1215f60af06eb22a3e2778095c92d16bc095,False
Random Forest,664e3a29169d4778a08195152a21f124,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/Random_Forest/randomized_search_results.csv,13839,0f3a3ac98a9f3a57cb59fa417b469b29a16fb81c6f694758b57840327b71c2ba,True
Random Forest,664e3a29169d4778a08195152a21f124,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/Random_Forest/best_parameters.json,1068,ce0addb1be01f9348ab9e5fd97632898178a2a5e9f93be9272a12c56fefea1e0,True
Random Forest,664e3a29169d4778a08195152a21f124,tuned_model/Random_Forest_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/Random_Forest/Random_Forest_best_estimator.joblib,10247881,7d82b3dc0b7245b7825e084e2b1adfd94e259442aae5453f57716d182bd31db2,False
XGBoost,fb84e5d407ce48f59487fd12191d8bc5,search_results/randomized_search_results.csv,metadata/mlflow_tuned_search_artifacts/XGBoost/randomized_search_results.csv,13869,bad43ae13a78c7445a61a366443c9276931e79e8763f4c0653e9ec16df09d139,True
XGBoost,fb84e5d407ce48f59487fd12191d8bc5,search_summary/best_parameters.json,metadata/mlflow_tuned_search_artifacts/XGBoost/best_parameters.json,1064,c5185d15f83dcb40c589d5786f61a29aab273bcdf3cb39cd8e24cbe6113fe5cd,True
XGBoost,fb84e5d407ce48f59487fd12191d8bc5,tuned_model/XGBoost_best_estimator.joblib,mlflow_artifacts/tuned_model_verification/XGBoost/XGBoost_best_estimator.joblib,186239,fe11a71570768c70fc977a17f75271939c9d8cb3ff2512c18c498df0c4901ca1,False
